query,Post ID,Post Content,nickname,link
污染; 2018-02-19; 1; 10,1,		小米大营养，一生多健康。农家小米，绿色无污染，欢迎选购。 ​		,I从没有离开过,//weibo.com/3776772121/G3PAxgYrW?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,2,		极其厌恶写着为性而性的低俗文字还要强行拉上文学/言论自由陪葬的这群所谓的粉丝。红楼梦也写宝玉梦可卿，可曾见过谁说曹雪芹半句低俗？这群人一来带大名写这种垃圾污染bbx广场，要举报碍着我睡觉还浪费我时间；二来大言不惭说毒唯拔x无情回踩xhw还群体白嫖；最后这文章看得我胃里犯恶心，罪加一等 网页链接,很酷的柯基,//weibo.com/5832408269/G3PvXkx83?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,3,	  判断xhw的方法是写这篇文的主旨是什么，正常文里出现的H描写是根据作者的情节安排水到渠成，xhw里的H是为了性而性。当然也有网文作者专门写这种题材的，但人家可没有拿现实生活中的明星偶像当作自己的主角进行无底线的意淫（比如人shou/乱lun）。 “大部分文里都有H凭什么自己写的文就叫xhw？”这个问 ​		...展开全文c,NA,//weibo.com/6035440022/G3PAwqxV2?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,4,		【无良商家乱排污水 造成蔬菜大棚无法作业】 家住铁岭市西丰县乐善村小学旁边有一个干豆腐厂子 排水污染很大 拍出的污水往河里还有旁边的大坑里排 造成很大的污染 厂子旁边都是种蔬菜的大棚 下面...（分享自 @百度贴吧）#来手机贴吧，看你想看的# 网页链接 ​		,信者得爱2730442567_887,//weibo.com/2730442567/G3PAeqs5N?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,5,		节目里恍惚看着的气质有点像鹿晗，但是真的挺特别的，没被人情世故名利场污染过的好看。		,大圣这可万万使不得啊,//weibo.com/5460766524/G3PyLDl5I?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,6,#偶像练习生#“做练习生累吗？”“会累，但因为喜欢，所以...”大年初四<雨水>节气宠爱→坤音娱乐BC221【小鱼访谈之#灵超# 】part 1千言万语感谢宝贝们一路支持，记得继续每日投票：网页链接你们的每一票都至关重要！ BC221的秒... ​	,NA,//weibo.com/2987969434/G3PAdfwn9?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,7,		//@爱留胡茬的权大叔://@DragonKnight_G字反黑组:广场被污染，大家转赞评好的微博上精选，点赞评论转发这条,喜欢大茄子,//weibo.com/2667414910/G3OeUADYX?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,8,#权志龙##鸡涌是宝宝# 一笑就是小括弧心都酥了真是乖崽崽啊又是只爱你的一天@GDRAGON_OFFICIAL ​	,NA,//weibo.com/5558039196/G3PAb992F?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,9,		【成都18日17时解除重污染天气黄色预警】记者今日从成都市重污染天气应急指挥办公室获悉，根据2月18日天气潜势预报，未来三天气象扩散条件为中等及中等偏好。|成都18日17... ​		,成都最新资讯传送门,//weibo.com/6077839070/G3PAa0nby?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,10,		我参与了@五星麦克阿瑟 发起的投票 【你给今年的春晚打几分？】，我投给了“负分，滚粗！噪音污染”这个选项。你也快来表态吧~		,昌佑玖洲,//weibo.com/6445381362/G3nkoEYsR?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,11,	  我发起了一个投票 【你给今年的春晚打几分？】网页链接 ​	,NA,//weibo.com/6488504009/G3PA5vb6F?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,12,"		【神农溪】神农溪是湖北巴东长江北岸的一条常流性溪流，发源于“华中第一峰”神农架的南坡，由南向北穿行于深山峡谷中，于巫峡口东2000米处汇入长江，全长60公里，是无污染的天然之流，溪水碧澈，一清到底，除""三色泉""外，几乎见不到一缕混水；溪底遍布五色石，如花似锦。 ​		",郁灵圆丘渭,//weibo.com/2360403542/G3PA5ghwu?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,13,		【当父母对孩子的“喜怒无常”头痛不已时，也要低头看看自己了】是不是因为自己在工作、家庭等等遇到困难，带来的坏情绪间接地影响到宝宝，造成了孩子心灵上的“污染”，让他们也逐渐喜怒不定。如果是这样，爸爸妈妈们需要学着在宝宝面前控制自己的坏脾气，尽量冷静后再面对孩子。 ​		,筋还情寄,//weibo.com/6164797984/G3PA3pug4?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,14,		//@德州环境: 2017年9月26日，省政府办公厅印发我省落实国家攻坚方案的实施细则，明确11项31条具体任务措施，将重点任务分解到各市、各部门；9月27日，省政府召开全省#秋冬季大气污染综合治理攻坚行动#电视会议，对相关工作作出具体部署。		,陵城环境,//weibo.com/3354394424/G3OknxxWA?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,15,	  【谋篇布局、综合施策，深化改革、创新方法，结构调整，动能转换——美丽山东脚步铿锵】|美丽山东脚... ​	,NA,//weibo.com/2268137533/G3PA2ieMN?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,16,"		//@德州环境:2月19日，扩散条件转好，预计，鲁西北西部，鲁西南以中重度污染为主，其他地区以良为主,，首要污染物为PM2.5.		",11寒剑11,//weibo.com/3354394424/G3ujagEBw?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,17,	  【山东：发布环境空气质量形势预报】 污染过程提示：2月17日～2月19日，湿度较大，扩散条件较不利，我省中西部城市会有一次中至重度污染过程。请注意出行安全并注意防护。 |山东省环境... ​	,NA,//weibo.com/3125650025/G3PA1F1NN?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,18,@痴:请问特色是如何脱贫的?一一一农村造血功能全面崩溃:土地贫瘠板结、水土流失、粮食转基因、粮食价格急速下跌、农用物资急速上涨、工业城市用地急速扩张、外出打工挣钱难、农民经商不挣钱、低端农民被驱赶、农村个体经济全面完蛋、水资源生态污染、村支部形同黑社会等等一一一一如此众多恶因如何脱贫		,大李79009,//weibo.com/1367118462/G3Kzm3zur?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,19,	  『新华社：中国5年减贫6853万人 创造减贫史上最好成绩_财经网 - CAIJING.COM.CN』|新华社：中... ​	,NA,//weibo.com/5125156813/G3PzZkI3z?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,20,#时事新闻#【成都18日17时解除重污染天气黄色预警】昨日从成都市重污染天气应急指挥办公室获悉，根据2月18日天气潜势预报，未来三天气象扩散条件为中等及中等偏好。按照《成都市重污染天气应急预案（2017年修订）》规定，决定于2018年2月18日17时解除重污染天气黄色预警。预警正式解除前，继续执行各项 ​			...展开全文c,双流服务,//weibo.com/3962909908/G3PzTEdY1?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,21,		所以，不放炮了为什么还有污染？,jeffery_ljl,//weibo.com/2489610225/G3Pps0NtQ?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,22,	  【实时空气质量：中度污染，AQI指数164】#空气质量#2018年2月19日13时，全市AQI平均指数164，PM2.5指数125，PM10指数148，O3指数49，SO2指数14，NO2指数30，CO指数1.7。空气质量级别为中度污染，首要污染物为PM2.5。如需查询各区、各点位实时更新数据，请点击→|天津市环境... @天津环保发布 ​	,NA,//weibo.com/2303862687/G3PzRiwCr?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,23,		辅食添加歌谣🍼宝宝辅食莫着急，六月米粉开始加，高铁不甜是必须，由稀到稠逐步加。三天观察不过敏，根茎蔬菜就跟上，土豆南瓜红薯好，适合吞咽无污染。香蕉苹果泥也行，菜水果汁切勿上，饭后白水成习惯。米粉持续加俩月，糙米燕麦轮流上，七月继续各种泥，慢慢开始喝烂粥，绿叶蔬菜方可 ​			...展开全文c,smile6446470580,//weibo.com/6446470580/G3PzMzwKO?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,24,		【我国将从下半年起实施更严格的船舶污染物排放标准】财联社2月19日讯，环境保护部日前批准了《船舶水污染物排放控制标准》，将从2018年7月1日起开始实施。与原来施行的船舶污染物排放标准相比，新标准在控制船舶污染物排放上将更加严格。 ​​​		,央证公开课,//weibo.com/2032139271/G3PzKyaig?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,25,		//@德州环境:2017年9月26日，省政府办公厅印发我省落实国家攻坚方案的实施细则，明确11项31条具体任务措施，将重点任务分解到各市、各部门；9月27日，省政府召开全省#秋冬季大气污染综合治理攻坚行动#电视会议，对相关工作作出具体部署。		,11寒剑11,//weibo.com/3354394424/G3OknxxWA?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,26,	  【谋篇布局、综合施策，深化改革、创新方法，结构调整，动能转换——美丽山东脚步铿锵】|美丽山东脚... ​	,NA,//weibo.com/3125650025/G3PzH0a0H?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,27,众生内心污染和清净的程度不同，看到的现象也千差万别。如一杯水，地狱众生看到的是铁汁；饿鬼众生看到的是脓血；畜生众生看到的是住处；人类看到的是水；天人看到的是甘露；八地菩萨看到的是佛母玛玛格；佛陀看到的是圆满大法界。内心越污染，所见现象越恶劣；内心越清净，所见现象越庄严		,一个人的番号9713,//weibo.com/2050149565/G3jJVqOCb?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,28,"	  【经典助印计划之首版《圆觉经》(注音)再版《六祖坛经》(注音)】《圆觉经》大乘经典,是佛为文殊,普贤等十二位菩萨宣说如来圆觉的妙理和观行方法,唐宋明以来天台宗贤首宗禅宗等盛行宣讲之经典;《六祖坛经》佛教唯一一本僧人著经书,佛教界学术界共同称之为经的禅宗著作.即日起助印,截止3月27日 ​	",NA,//weibo.com/5696779455/G3PzEBUHl?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,29,#中国赞#★[景點推薦-關渡平原]★ 臺北境內最大的生態溼地，一望無際的綠色平原，無噪音的汙染 清脆的鳥叫聲，在這繁榮忙碌的都市裡，顯得讓人格外的輕鬆!! ​		,瀞-记忆已成空白,//weibo.com/3701402994/G3PzBmtbs?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,30,		道理我都懂，可这玩意儿简直精神污染 ​		,鱼子-酱油油,//weibo.com/2490627013/G3Pzw1WDL?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,31,		【￥49】棉麻布料，天然质感，防水面料，面料挺拾垂感佳，简约大气，清新自然，环保无污染。【赠运费险】 去领卷下单→网页链接 如需要其他宝贝，自助找券神器→网页链接 ​		,啊喔鹅官网,//weibo.com/6387188963/G3PzoDjP3?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,32,		【世界卫生组织9条防癌提示】①不吃熏腌制食物。②不吃过热过硬、过焦过咸的食物，不喝过烫的水。③不吃发霉粮食及制品。④不用洗衣粉擦洗餐具、茶具或食物。⑤吃饭不要过饱，控制肉类的摄入量。⑥不吃被农药污染的蔬果。⑦不酗酒。⑧不吸烟。⑨每天开窗1至2小时。 ​		,用户3592056345,//weibo.com/3592056345/G3Pz92n2H?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,33,		【白开水也有保质期】很多家庭会在夏天准备个大玻璃杯凉白开水，认为这样卫生、方便。但夏季天热，空气湿度高，细菌繁殖快，凉白开放置时间不宜过长。无论常温或冷藏条件下，都不要超过2天，最好当天喝完。敞口放置时，要放在周围环境干净的地方，以免被污染。此外，切忌把放凉的水重新加热饮用。 ​		,单于度践单于吐,//weibo.com/5887889371/G3Pz92mPU?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,34,		白开水也有保质期很多人喜欢在头天晚上晾好一杯开水，第二天一早再喝。这种做法在温度不高时还可以；如气温超过30摄氏度，空气湿度又较高，细菌繁殖较快，隔夜凉开水就会失去生物活性，并且极易被污染而引起腹泻。当天烧的开水最好当天喝完。凉白开TTO180放置超过3天最好不再饮用。 ​		,倔强的辞职玉,//weibo.com/6429046770/G3PyXt9Pj?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,35,		水肌澳防晒霜具有独特的双重UV防护技术，360°全面抵御UVA/UV，重塑肌肤保护屏障，可有效抵御晒黑、色斑、自由基、光老化。并隔离彩妆、粉尘等一切污染，实现无懈可击的UV隔离屏障。 ​		,用户6056581688,//weibo.com/6056581688/G3PyXubCo?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,36,		难道年长就能倚老卖老，就能耍流氓，就能插队，还尊老，还爱幼呢，这种人的存在，简直污染环境 ​		,北月WANT,//weibo.com/6488739860/G3PyWBK84?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,37,		一般的喷雾为了控制成本会直接使用罐装，而可丽金类人胶原蛋白健肤喷雾采用真空高压双层包装，既可以保证产品极佳的使用体验，又可以防止二次污染。一款小喷雾尚且如此用心，更何况平台上其他的套系产品呢？ ​		,可丽金类人胶原蛋白旗舰店,//weibo.com/5747364569/G3PyPcsNY?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,38,		18见底。//@lvh3sg5ya2j9l0et8wz9o://@中国刘杰://@森林屋子:还真不不如豆腐渣，豆腐渣放在地里可以变成肥料，这东西只会污染环境//@陶公春秋:比豆腐渣还是要坚固一些的嘛…… 鉴定完毕。		,奸臣孝子______智慧人生,//weibo.com/1600463082/G3JsF7oRW?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,39,	  网友：水利工程修成豆腐渣工程，“水泥”用手一掰就开。。 中国刘杰的... ​	,NA,//weibo.com/6459689100/G3PyKaOXG?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,40,		我们这儿禁放炮。然而空气污染还是全国倒数第一。		,随缘dlYm,//weibo.com/3676435761/G3Owysw4J?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,41,	  被鞭炮声叫醒的我 ​	,NA,//weibo.com/3284078133/G3PyA8D2T?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,42,能淘汰燃料电站，替代太阳能风能和水力电站，消除大气污染，解决能源危机的自然外力循环发电站寻开发经营合作。它是以机器外部的清洁能源（如太阳能风能等）为根本动力，不使用燃料，不使用化学电瓶等易损易耗零部件，能一直不停地发电的发电站；用常规材料建造，成本低；动力系统开放，运行可靠。		,陈源庆的微博,//weibo.com/6410512613/FEUBvmXr7?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,43,	  我发表了头条文章:《自然外力循环发电机简要说明》 |自然外力循... ​	,NA,//weibo.com/6410512613/G3Pyq5nhy?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,44,		//@李德群:文化阵线的博弈想象不到得激烈！中国小伙娶黑人，不是和战狼一个套路么？！宣传这个的用心很险恶！！！基因污染是不可逆的，要是中国人大量和黑人通婚，那就完了！！！		,少得多惑963,//weibo.com/3153669072/G3hsie5zi?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,45,！！圾垃，晚春视央 ​	,NA,//weibo.com/3085531965/G3PykrBdp?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,46,#搜狐新闻资讯版#《中国拒绝进口洋垃圾后，美国陷入垃圾危机，污染严重该如何处理！》中国拒绝进口洋垃圾后，美国陷入垃圾危机，污染严重该如何处理！网页链接 ​		,飞跃奇迹TWMC,//weibo.com/3023810977/G3PycsPl5?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,47,		猛然间把东北两字看成了陕北，难道是前兆吗？当有一天资源枯竭，环境污染，地表下陷；占尽资源得利者早已逃之夭夭，各地买房转移了，可怜了当地的普通百姓；兴，没有占便宜；败，受尽遗害。		,陕西省-薛金鹏Kevin,//weibo.com/1974561081/G3Pvyw8tq?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,48,#网易财经# 【一座资源枯竭的东北小城 以及准备出走的年轻人】东北的再次振兴被提及多年，这座东北小城的浮沉就像一面镜子，反射出工业变迁背景下的人生百态。 |一座资源枯... @网易新闻客户端 #网易新闻# ​	,NA,//weibo.com/2822970512/G3Py9fBlr?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,49,#中国赞#昆明就是一个大花园，这里同时拥有高原风光之美、民族风情之美和边陲风貌之美。昆明的空气质量实现重大突破，去年前8个月，昆明主城建成区环境空气质量优良率达到了100%，位居西部省会城市第一位。这对于很多饱受大气污染的城市人而言，简直就是一件再幸福不过的事了。 ​		,譜桐朲,//weibo.com/2870575433/G3Py0Dt0a?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,50,		【美容小常识】红石榴是抗氧美容的最佳水果，娇艳欲滴的红石榴已经被证实具有很强的抗氧化作用。它含有一种叫鞣花酸的成分，可以使细胞免于环境中的污染、UV射线的危害，滋养细胞，减缓肌体的衰老。有研究表明，鞣花酸在防辐射方面比红酒和绿茶中含有的多酚更“厉害”。 ​		,奢侈品原单,//weibo.com/5967095463/G3PxT200H?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,51,		【高考政治】#绿色消费的含义?特征?#绿色消费是以保护消费者健康和节约资源为主旨，符合人的健康和环境保护标准的各种消费行为的总称，核心是可持续性消费。特征是：节约资源，减少污染;绿色生活，环保选购;重复使用，多次利用;分类回收，循环再生;保护自然，万物共存。|【爱学习】... ​		,高考刷题狗,//weibo.com/2552566444/G3PxSp4IF?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,52,		权力就这么任性！//@六股河的风:@常识与勇气: 法治社会应该一视同仁，不能因为某人贡献大，权力大而选择性执法。如果骂人者要拘留10天，那么所有的骂人者都应该拘留10天。//@燃烧吧燕小抗:你国牛逼，想抓谁抓谁，想套什么罪名都成立，放个屁也算污染大气，就问你服不服。		,黎明前的夜2017,//weibo.com/1618051664/G3Ip5FjJz?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,53,	  【官方通报“律师”侮辱核潜艇之父黄旭华:行拘10日】山东临沭通报“律师”侮辱核潜艇之父事件:临沭县公安局对在微博上公然侮辱“中国核潜艇之父”黄旭华院士的“禚律师_a6j”行政拘留10日，罚款500元。该男子原系山东德与法律师事务所律师，2017年8月8日注销律师执业证书。|官方通报“... ​	,NA,//weibo.com/6334035104/G3PxQ1omp?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,54,		总共能看见某些………污染首页 ​		,SevenFassy_德法双修,//weibo.com/5750531981/G3PxIEpZX?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,55,		怎么可能甘心只污染微信？ ​		,最高flag,//weibo.com/5872948354/G3PxDCIDb?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,56,		飞鹰参与环保志愿多年.保护环境.扶助贫寒.爱心助学.森林防火.抗洪支灾.多次奋勇救人！保护共亨环境.改善一条条遭污染的河流变清流.保护饮用水源.造福宁乡龙田人民！2017年龙田政府张炜书记请我参与创建龙田美好环境.上了四个月班.到年底工资一分都没付我.老婆闹着要离婚@湖南省政府门户网站@湖南微政务,大地飞鹰在路上,//weibo.com/3538147441/FB8RKjNQA?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,57,#点亮志愿者##点亮志愿者# 优秀的人身上似乎都有这样一种品质：认定的事情，他们总是锲而不舍、越挫越勇、从不服输、全力以赴，哪怕过程进展得很慢，也从不言弃，从不抱怨。优秀不是与生俱来的，也不是靠运气。如果你也想成为优秀一员，那么无论你做什么工作，经历过什么，选择的路请不要轻言放弃。因 ​		...展开全文c,NA,//weibo.com/3538147441/G3PxCpxCP?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,58,		//@德州环境:2017年9月26日，省政府办公厅印发我省落实国家攻坚方案的实施细则，明确11项31条具体任务措施，将重点任务分解到各市、各部门；9月27日，省政府召开全省#秋冬季大气污染综合治理攻坚行动#电视会议，对相关工作作出具体部署。		,用户秦时明月汉时关,//weibo.com/3354394424/G3OknxxWA?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,59,	  【谋篇布局、综合施策，深化改革、创新方法，结构调整，动能转换——美丽山东脚步铿锵】|美丽山东脚... ​	,NA,//weibo.com/6267944738/G3PxBgTzv?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,60,		//@banana味的朴贤:意淫不要发到微博上不要带话题不要艾特真主！你活在你自己的世界里不好吗为什么要来污染环境！！好使不留名坏事传千里不要给你哥丢脸了好吗！！！有空意淫不如多做点事！！！//@软哝小啵:听到没各位作者,以学为生的人,//weibo.com/3694863325/E2an0c8O3?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,61,	  大家都知道，搜索是艺人的是第一形象，看看边伯贤的搜索，第一眼望过去就是边伯贤小XX，公开yy带话题是很不正常的行为，随着8月底电视剧的开播，如果还带着话题公开yy，对来搜索边伯贤的观剧者来说，严重影响了第一印象。在此，边吧要求【严禁】带着边伯贤大名yy，请尊重他！希望大家也能够互相监督， ​		...展开全文c,NA,//weibo.com/2384421690/G3PxA5Yat?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,62,		//@Kjylucifer://@sango000://@DragonKnight_G字反黑组:广场被污染，大家转赞评好的微博上精选，点赞评论转发这条,鸡涌啊我要好好读书了,//weibo.com/2667414910/G3OeUADYX?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,63,#权志龙##鸡涌是宝宝# 一笑就是小括弧心都酥了真是乖崽崽啊又是只爱你的一天@GDRAGON_OFFICIAL ​	,NA,//weibo.com/5579942925/G3PxusoUM?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,64,		飞鹰参与环保志愿多年.保护环境.扶助贫寒.爱心助学.森林防火.抗洪支灾.多次奋勇救人！保护共亨环境.改善一条条遭污染的河流变清流.保护饮用水源.造福宁乡龙田人民！2017年龙田政府张炜书记请我参与创建龙田美好环境.上了四个月班.到年底工资一分都没付我.老婆闹着要离婚@湖南省政府门户网站@湖南微政务,大地飞鹰在路上,//weibo.com/3538147441/FBjUVFUFs?refer_flag=1001030103_
